NAME,avg_household_size,total_occupied_units,owner_occupied_units,renter_occupied_units,total_units_bedroom_table,units_0br,units_1br,units_2br,units_3br,units_4br,units_5plus_br,total_occ_per_room_base,owner_1.01_to_1.5_per_room,owner_1.51_to_2_per_room,owner_over_2_per_room,renter_1.01_to_1.5_per_room,renter_1.51_to_2_per_room,renter_over_2_per_room,tenure_age_base,owner_65_to_74,owner_75_to_84,owner_85_plus,moved_in_base,owner_moved_2000_2009,owner_moved_1990_1999,owner_moved_1989_earlier,renter_total_cost_burden_base,renter_30_34_9pct,renter_35_39_9pct,renter_40_49_9pct,renter_50plus_pct,owner_total_cost_burden_base,owner_mtg_30_34_9pct,owner_mtg_35_39_9pct,owner_mtg_40_49_9pct,owner_mtg_50plus_pct,owner_mtg_not_computed,owner_nomtg_30_34_9pct,owner_nomtg_35_39_9pct,owner_nomtg_40_49_9pct,owner_nomtg_50plus_pct,owner_nomtg_not_computed,state,county,tract,avg_bedrooms,pct_overcrowded,pct_owner_65plus_long_tenure,pct_hh_25_34_doubled_up,pct_cost_burdened,bedroom_mismatch,bedroom_mismatch_norm,pct_overcrowded_norm,pct_owner_65plus_long_tenure_norm,pct_cost_burdened_norm,demand_score,ams_res,res_vac,nostat_res,pct_residential_vacant,pct_no_stat,pct_vacant_12mo_plus
Census Tract 38.01; El Paso County; Texas,2.78,1730,1171,559,1904,16,156,252,958,315,207,1730,30,8,0,80,0,0,1730,209,423,103,1730,86,60,103,559,48,122,35,90,1171,82,17,48,15,21,64,30,52,0,0,48,141,48141003801,3.0614495798319328,0.06820809248554913,0.09421965317919075,,0.35283791691047395,0.28144957983193297,0.21961299680622048,0.25643900865811603,0.25022268549227705,0.430447913572214,0.29102195172480166,1970,2,8,0.0010152284263959391,0.0040609137055837565,0.5
Census Tract 2.07; El Paso County; Texas,2.75,1563,872,691,1756,0,27,386,1069,224,50,1563,19,0,6,32,0,0,1563,213,87,43,1563,191,290,129,691,60,66,51,141,872,52,10,0,23,10,10,0,0,9,48,48,141,48141000207,2.9339407744874717,0.036468330134357005,0.21944977607165708,,0.28039867109634553,0.1839407744874717,0.1433520253195927,0.13710839999011473,0.5828010446493188,0.3020717466507794,0.29102112288597753,1741,27,5,0.015508328546812177,0.002871912693854107,0.9629629629629629
Census Tract 31; El Paso County; Texas,3.23,919,509,410,1055,34,27,264,567,154,9,919,4,0,23,0,11,0,919,43,157,78,919,55,46,81,410,10,28,0,100,509,16,9,8,25,0,11,0,21,33,0,48,141,48141003100,2.7649289099526064,0.041349292709466814,0.1381936887921654,,0.2840043525571273,0.46507109004739355,0.3632221273396629,0.15545914340554903,0.3670061899070622,0.3084617022594084,0.28814914153121496,1256,7,0,0.005573248407643312,0.0,0.7142857142857143
Census Tract 43.07; El Paso County; Texas,2.56,2155,1339,816,2259,11,370,335,841,529,173,2155,0,0,0,0,0,0,2155,421,162,88,2155,236,316,188,816,78,14,0,250,1339,67,37,76,30,58,15,0,34,0,19,48,141,48141004307,2.8968570163789287,0.0,0.23387470997679816,,0.2892204042348412,0.3368570163789286,0.2629467749581603,0.0,0.6211098855121525,0.3177055411939991,0.28729321166816996,2170,8,6,0.003686635944700461,0.0027649769585253456,0.875
Census Tract 16; El Paso County; Texas,1.75,2198,299,1899,2397,544,949,444,362,38,60,2198,0,12,0,0,30,44,2198,25,32,7,2198,74,47,47,1899,199,133,118,521,299,36,0,0,24,0,0,0,20,25,0,48,141,48141001600,1.4080100125156445,0.039126478616924476,0.029117379435850774,,0.4895359417652411,0.3419899874843555,0.2669612366442595,0.14710212561556155,0.07732812243619386,0.6727028992413681,0.2850306404329108,2517,27,102,0.010727056019070322,0.04052443384982122,0.8888888888888888
Census Tract 43.17; El Paso County; Texas,2.42,2000,66,1934,2155,166,476,1209,264,14,26,2000,0,0,0,56,0,40,2000,22,0,0,2000,26,16,1,1934,263,65,149,319,66,1,0,0,0,0,0,0,0,0,0,48,141,48141004317,1.7967517401392112,0.048,0.0085,,0.3985,0.6232482598607887,0.48693141281764357,0.1804635193133047,0.02257377049180328,0.5113698383493231,0.28501124056780175,2162,19,50,0.008788159111933395,0.02312673450508788,1.0
Census Tract 43.19; El Paso County; Texas,3.1,1572,1247,325,1597,63,0,30,1141,294,69,1572,0,10,41,0,0,0,1572,314,57,17,1572,154,241,488,325,74,0,0,127,1247,35,66,48,12,16,44,20,9,13,0,48,141,48141004319,3.1333750782717598,0.03244274809160305,0.24681933842239187,,0.2879177377892031,0.03337507827175967,0.02559562141936899,0.1219735936834518,0.6554874233512702,0.31539696766885106,0.28443230014393966,1753,14,4,0.007986309184255563,0.0022818026240730175,0.7857142857142857
Census Tract 102.03; El Paso County; Texas,3.0,959,623,336,1073,58,46,97,673,194,5,959,3,0,42,17,0,0,959,80,98,16,959,263,62,60,336,16,33,22,35,623,49,13,51,23,0,5,44,17,15,14,48,141,48141010203,2.8518173345759554,0.06465067778936393,0.12721584984358708,,0.3417989417989418,0.14818266542404457,0.11538585215124673,0.24306435083039826,0.33785192909280504,0.4108847431439099,0.28318064373854757,1111,0,197,0.0,0.1773177317731773,
Census Tract 21; El Paso County; Texas,1.86,869,56,813,1289,178,616,274,128,78,15,869,0,0,0,0,8,0,869,9,11,0,869,0,36,0,813,223,11,38,206,56,0,0,0,0,0,0,0,9,0,0,48,141,48141002100,1.5011636927851046,0.009205983889528193,0.023014959723820484,,0.5604142692750288,0.35883630721489546,0.2801366283854147,0.0346113385717884,0.061121696315719974,0.7983128210626959,0.2812693565932234,1205,94,76,0.07800829875518672,0.06307053941908713,0.9574468085106383
Census Tract 103.66; El Paso County; Texas,3.09,2542,2325,217,2594,112,0,175,1173,1053,81,2542,74,13,87,0,0,0,2542,334,32,0,2542,696,863,163,217,0,0,18,0,2325,68,111,111,122,59,23,0,269,0,0,48,141,48141010366,3.271395528141866,0.06845003933910307,0.14398111723052714,,0.2907772855416835,0.181395528141866,0.1413614055155351,0.2573486457555978,0.3823760818253344,0.32046463196417196,0.2811870532771629,2812,0,15,0.0,0.005334281650071123,
