tract,ams_res,res_vac,nostat_res,pct_residential_vacant,pct_no_stat,pct_vacant_12mo_plus,period
48141001114,2652,47,117,0.017722473604826545,0.04411764705882353,0.9148936170212766,2025-03
48141001114,2651,47,117,0.017729158807996984,0.044134288947566956,0.9574468085106383,2025-06
48141001114,2651,47,117,0.017729158807996984,0.044134288947566956,0.9787234042553191,2025-09
48141001114,2651,40,117,0.015088645794039984,0.044134288947566956,1.0,2025-12
48141001114,2650,39,116,0.01471698113207547,0.04377358490566038,1.0,2026-03
48141001115,2472,27,74,0.010922330097087379,0.029935275080906147,0.9259259259259259,2024-12
48141001115,2472,28,85,0.011326860841423949,0.034385113268608415,0.8928571428571429,2025-03
48141001115,2472,27,85,0.010922330097087379,0.034385113268608415,0.8888888888888888,2025-06
48141001115,2472,26,85,0.010517799352750809,0.034385113268608415,0.9230769230769231,2025-09
48141001115,2472,27,85,0.010922330097087379,0.034385113268608415,0.8518518518518519,2025-12
48141001115,2557,24,86,0.009385999217833398,0.03363316386390301,0.875,2026-03
48141001116,1251,12,9,0.009592326139088728,0.007194244604316547,1.0,2024-12
48141001116,1250,14,8,0.0112,0.0064,0.8571428571428571,2025-03
48141001116,1250,14,8,0.0112,0.0064,0.8571428571428571,2025-06
48141001116,1250,13,8,0.0104,0.0064,0.9230769230769231,2025-09
48141001116,1250,10,8,0.008,0.0064,0.9,2025-12
48141001116,1293,10,48,0.007733952049497293,0.037122969837587005,1.0,2026-03
48141001117,3107,21,587,0.0067589314451239136,0.18892822658513034,0.9047619047619048,2024-12
48141001117,3113,22,593,0.007067137809187279,0.1904914873112753,0.8181818181818182,2025-03
48141001117,3109,22,589,0.007076230299131554,0.1894499839176584,0.8181818181818182,2025-06
48141001117,3114,22,594,0.007064868336544637,0.1907514450867052,0.8636363636363636,2025-09
48141001117,3113,16,593,0.00513973658849984,0.1904914873112753,0.9375,2025-12
48141001117,3117,15,597,0.004812319538017324,0.1915303176130895,1.0,2026-03
48141001118,1314,17,5,0.01293759512937595,0.00380517503805175,0.8235294117647058,2024-12
48141001118,1314,18,5,0.0136986301369863,0.00380517503805175,0.7777777777777778,2025-03
48141001118,1314,18,5,0.0136986301369863,0.00380517503805175,0.8333333333333334,2025-06
48141001118,1314,18,5,0.0136986301369863,0.00380517503805175,0.9444444444444444,2025-09
48141001118,1314,14,5,0.0106544901065449,0.00380517503805175,0.9285714285714286,2025-12
48141001118,1313,12,5,0.00913937547600914,0.003808073115003808,1.0,2026-03
48141001119,1663,23,3,0.013830426939266387,0.0018039687312086591,0.7391304347826086,2024-12
48141001119,1664,26,3,0.015625,0.0018028846153846155,0.6153846153846154,2025-03
48141001119,1664,26,3,0.015625,0.0018028846153846155,0.6538461538461539,2025-06
48141001119,1664,25,3,0.015024038461538462,0.0018028846153846155,0.76,2025-09
48141001119,1664,21,2,0.012620192307692308,0.001201923076923077,0.8095238095238095,2025-12
48141001119,1664,18,2,0.010817307692307692,0.001201923076923077,0.9444444444444444,2026-03
48141001202,4388,8,2568,0.0018231540565177757,0.585232452142206,1.0,2024-12
48141001202,4388,9,2568,0.002051048313582498,0.585232452142206,0.8888888888888888,2025-03
48141001202,4394,8,2574,0.0018206645425580337,0.5857988165680473,1.0,2025-06
48141001202,4397,6,2577,0.001364566750056857,0.58608141914942,1.0,2025-09
48141001202,4397,5,2577,0.0011371389583807142,0.58608141914942,1.0,2025-12
48141001202,4412,4,2581,0.0009066183136899365,0.5849954669084315,1.0,2026-03
48141001204,2131,28,15,0.01313937118723604,0.0070389488503050214,0.6785714285714286,2024-12
48141001204,2144,26,15,0.012126865671641791,0.006996268656716418,0.6153846153846154,2025-03
48141001204,2144,26,15,0.012126865671641791,0.006996268656716418,0.9230769230769231,2025-06
48141001204,2144,26,15,0.012126865671641791,0.006996268656716418,0.9615384615384616,2025-09
48141001204,2144,23,15,0.010727611940298507,0.006996268656716418,1.0,2025-12
48141001204,2135,24,17,0.011241217798594848,0.007962529274004685,0.9166666666666666,2026-03
48141001301,1679,12,62,0.00714711137581894,0.03692674210839786,0.9166666666666666,2024-12
48141001301,1559,14,43,0.008980115458627326,0.027581783194355357,0.7857142857142857,2025-03
48141001301,1560,5,44,0.003205128205128205,0.028205128205128206,0.6,2025-06
48141001301,1560,5,44,0.003205128205128205,0.028205128205128206,0.6,2025-09
48141001301,1561,4,39,0.0025624599615631004,0.024983984625240232,1.0,2025-12
48141001301,1562,4,38,0.002560819462227913,0.024327784891165175,1.0,2026-03
48141001302,2672,64,47,0.023952095808383235,0.017589820359281437,0.84375,2024-12
48141001302,2664,70,39,0.026276276276276277,0.01463963963963964,0.8142857142857143,2025-03
48141001302,2664,48,39,0.018018018018018018,0.01463963963963964,0.9166666666666666,2025-06
48141001302,2664,66,39,0.024774774774774775,0.01463963963963964,0.6515151515151515,2025-09
48141001302,2664,59,26,0.022147147147147148,0.00975975975975976,0.6610169491525424,2025-12
48141001302,2664,53,25,0.019894894894894894,0.009384384384384385,0.6792452830188679,2026-03
48141001400,1281,55,8,0.0429352068696331,0.00624512099921936,0.6727272727272727,2024-12
48141001400,1283,55,8,0.042868277474668745,0.006235385814497272,0.6727272727272727,2025-03
48141001400,1283,55,8,0.042868277474668745,0.006235385814497272,0.9818181818181818,2025-06
48141001400,1284,55,9,0.042834890965732085,0.007009345794392523,1.0,2025-09
48141001400,1284,54,9,0.04205607476635514,0.007009345794392523,1.0,2025-12
48141001400,1285,71,9,0.05525291828793774,0.007003891050583658,0.7605633802816901,2026-03
48141001501,2398,15,15,0.006255212677231026,0.006255212677231026,0.9333333333333333,2024-12
48141001501,2400,15,15,0.00625,0.00625,0.9333333333333333,2025-03
48141001501,2400,14,15,0.005833333333333334,0.00625,1.0,2025-06
48141001501,2400,12,15,0.005,0.00625,1.0,2025-09
48141001501,2400,11,15,0.004583333333333333,0.00625,0.9090909090909091,2025-12
48141001501,2394,11,15,0.004594820384294068,0.006265664160401002,0.9090909090909091,2026-03
48141001502,1569,3,36,0.0019120458891013384,0.022944550669216062,0.3333333333333333,2024-12
48141001502,1569,3,36,0.0019120458891013384,0.022944550669216062,0.3333333333333333,2025-03
48141001502,1569,3,36,0.0019120458891013384,0.022944550669216062,0.3333333333333333,2025-06
48141001502,1569,3,36,0.0019120458891013384,0.022944550669216062,0.6666666666666666,2025-09
48141001502,1569,2,34,0.0012746972594008922,0.021669853409815167,1.0,2025-12
48141001502,1569,1,34,0.0006373486297004461,0.021669853409815167,1.0,2026-03
48141001600,2517,26,102,0.010329757647993643,0.04052443384982122,0.9615384615384616,2024-12
48141001600,2517,27,102,0.010727056019070322,0.04052443384982122,0.8888888888888888,2025-03
48141001600,2517,27,102,0.010727056019070322,0.04052443384982122,0.8888888888888888,2025-06
48141001600,2517,28,102,0.011124354390147001,0.04052443384982122,0.8571428571428571,2025-09
48141001600,2517,28,102,0.011124354390147001,0.04052443384982122,0.8571428571428571,2025-12
48141001600,2517,27,102,0.010727056019070322,0.04052443384982122,0.8888888888888888,2026-03
48141001700,3080,19,2530,0.006168831168831169,0.8214285714285714,0.8947368421052632,2024-12
48141001700,3085,19,2533,0.006158833063209076,0.8210696920583468,0.8947368421052632,2025-03
48141001700,3084,19,2530,0.00616083009079118,0.8203631647211413,0.8947368421052632,2025-06
48141001700,3084,19,2528,0.00616083009079118,0.8197146562905318,0.8947368421052632,2025-09
48141001700,3090,21,2534,0.006796116504854369,0.8200647249190939,0.8571428571428571,2025-12
48141001700,3095,20,2536,0.006462035541195477,0.8193861066235865,0.9,2026-03
48141001800,602,32,15,0.053156146179401995,0.024916943521594685,1.0,2024-12
48141001800,603,31,15,0.05140961857379768,0.024875621890547265,1.0,2025-03
48141001800,603,31,15,0.05140961857379768,0.024875621890547265,1.0,2025-06
48141001800,603,30,15,0.04975124378109453,0.024875621890547265,1.0,2025-09
48141001800,603,30,15,0.04975124378109453,0.024875621890547265,1.0,2025-12
48141001800,603,30,15,0.04975124378109453,0.024875621890547265,1.0,2026-03
48141001900,1152,55,58,0.04774305555555555,0.050347222222222224,0.9454545454545454,2024-12
48141001900,1152,51,58,0.044270833333333336,0.050347222222222224,0.9607843137254902,2025-03
48141001900,1152,50,58,0.043402777777777776,0.050347222222222224,1.0,2025-06
48141001900,1152,49,58,0.042534722222222224,0.050347222222222224,0.9795918367346939,2025-09
48141001900,1152,43,58,0.03732638888888889,0.050347222222222224,0.9534883720930233,2025-12
48141001900,1149,43,58,0.03742384682332463,0.050478677110530897,0.9534883720930233,2026-03
48141002000,1048,36,65,0.03435114503816794,0.06202290076335878,0.9444444444444444,2024-12
48141002000,1048,34,65,0.03244274809160305,0.06202290076335878,0.9411764705882353,2025-03
48141002000,1048,34,65,0.03244274809160305,0.06202290076335878,1.0,2025-06
